Flag,O0,O1,O2,O3,Always on/off (1/0) in train18a,Description,XOR,Include,Reason,Reason code,Dependent on,In arm-none-eabi-gcc 4.9.3,why missing,,O0,O1,O2,O3,,Always On,Always Off
-funroll-all-loops,0,0,0,0,,,,Y,,,,TRUE,,,,,,,,,
-funroll-loops,0,0,0,0,0,,,Y,,,,TRUE,,,,,,,,,
-funsafe-loop-optimizations,0,0,0,0,,,,N,incorrect code?,X,,TRUE,,,,,,,,,
-funsafe-math-optimizations,0,0,0,0,,,,N,standards,S,,TRUE,,,,,,,,,
-funswitch-loops,0,0,0,1,1,,,Y,,,,TRUE,,,,,,,,,
-funwind-tables,0,0,0,0,,,,N,debugging,D,,TRUE,,,,,,,,,
-fvar-tracking,0,0,0,0,,,,N,debugging,D,,TRUE,,,,,,,,,
-fvar-tracking-assignments,0,0,0,0,,,,N,debugging,D,,TRUE,,,,,,,,,
-fvar-tracking-assignments-toggle,0,0,0,0,,,,N,debugging,D,,TRUE,,,,,,,,,
-fvar-tracking-uninit,0,0,0,0,,,,N,debugging,D,,TRUE,,,,,,,,,
-fvariable-expansion-in-unroller,0,0,0,0,,,,Y,,,,TRUE,,,,,,,,,
-fvect-cost-model,0,0,0,1,,,,Y,"default cost mode is dynamic or cheap, depending on other flags",,,FALSE,???,,,,,,,,
-fvpt,0,0,0,0,,,,N,requires profile,P,,TRUE,,,,,,,,,
-fweb,1,1,1,1,1,,,Y,,,,TRUE,,,,,,,,,
-fwhole-program,0,0,0,0,,,,N,doesn't compile,N,,TRUE,,,,,,,,,
-fwrapv,0,0,0,0,,,,N,standards,S,,TRUE,,,,,,,,,
,52,83,114,123,33,,,186,,,,,,,,,,,,,
,,,,,19,,,133,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,,53,,,,,,,,,,,,,
